Year,Country,Avg Temperature (Â°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2020,Argentina,8.4,6.5,3.5,990,1225881222,47.0,8,68.5
2000,Germany,5.1,11.2,1.6,2378,495220820,33.7,6,69.2
2014,Brazil,24.1,12.8,2.9,2440,246829711,41.1,4,40.8
2000,UK,20.5,11.8,4.1,812,39478806,26.0,6,66.1
2004,Australia,22.8,14.1,2.2,1418,217927603,21.3,12,41.4
2015,USA,28.8,0.6,2.2,2382,204172325,9.9,8,27.5
2018,Russia,24.4,2.5,1.0,1312,1197982965,44.4,7,26.0
2003,Indonesia,10.2,17.4,1.7,1989,1129377860,40.2,5,65.8
2002,Canada,15.8,13.8,4.5,1826,614382775,12.6,12,20.3
2016,Canada,32.2,2.7,2.8,1179,343865425,28.1,3,44.8
2016,Brazil,28.1,16.9,4.9,934,1393981934,26.9,12,43.3
2011,France,21.7,5.2,2.6,1181,1214544133,33.1,14,54.4
2013,France,12.7,9.8,3.9,1658,1199331484,47.6,0,40.0
2020,Brazil,14.1,3.3,2.1,1573,1391047250,31.1,5,26.3
2005,Argentina,27.0,14.3,2.5,1955,898654624,29.3,2,20.2
2002,India,30.5,13.5,1.8,2887,377355052,7.3,5,47.2
2008,Mexico,25.1,4.6,2.4,2894,237078466,7.8,5,53.1
2004,USA,29.3,17.3,3.2,1870,1377931241,13.4,13,44.2
2023,Canada,28.0,8.3,5.0,1148,338334548,6.5,3,54.3
2016,Canada,9.5,6.2,3.7,744,355644712,38.5,1,18.5
2013,Mexico,17.7,3.5,1.8,2656,664661890,37.5,14,62.9
2020,India,9.6,5.7,1.2,795,988849880,11.1,8,44.9
2002,Canada,12.1,0.9,1.5,2659,45925925,42.6,1,17.6
2000,Indonesia,31.1,11.9,3.3,2112,275452460,12.0,2,37.7
2019,Russia,19.2,16.9,4.1,2890,1112504950,18.6,9,60.7
2020,USA,21.1,11.2,4.8,2648,320264723,16.2,0,63.9
2022,Japan,10.4,4.8,1.1,2127,1360173043,21.8,6,25.9
2000,Canada,14.4,1.2,3.1,527,496479467,16.5,14,52.7
2002,Brazil,11.9,4.7,2.9,2485,374520492,27.0,0,16.0
2017,Russia,11.2,8.6,3.6,2060,1303319060,23.3,10,12.0
2009,Canada,24.1,15.3,3.2,557,915322799,49.4,8,43.6
2021,South Africa,12.7,4.2,3.7,2021,1112155060,7.5,10,51.7
2002,UK,24.0,14.5,3.6,796,305315340,11.4,10,57.7
2007,Indonesia,6.8,17.4,1.5,2681,1264503560,7.4,0,30.4
2013,Russia,9.3,9.4,4.2,2796,27559312,33.2,4,10.4
2023,Germany,13.2,16.5,1.5,1401,538799164,7.5,6,38.8
2017,Japan,22.9,11.3,3.8,2464,1335375745,42.6,2,11.0
2014,UK,25.3,12.9,2.7,1598,772826167,28.0,8,15.5
2021,China,18.3,10.8,3.1,2177,393241030,28.7,7,29.6
2022,Brazil,18.4,9.5,4.6,1691,302427829,30.3,12,36.2
2001,Brazil,26.7,5.1,4.6,1270,694412542,12.7,14,26.8
2009,USA,5.5,6.4,4.3,2026,474288233,13.9,2,44.9
2001,Mexico,15.2,6.2,3.0,1878,162233683,19.3,14,13.3
2016,UK,29.6,11.5,3.9,1748,1238813576,31.7,4,18.7
2007,Russia,23.1,2.8,3.1,2054,61974096,14.5,6,51.7
2000,India,15.1,18.4,4.5,645,104256346,10.2,11,18.5
2008,Brazil,32.2,14.6,2.6,2483,1107521006,48.7,13,48.4
2010,Russia,28.2,8.3,4.9,1764,147628865,6.0,3,13.3
2021,Argentina,12.9,3.6,4.7,2407,809907325,41.1,4,34.4
2015,Russia,24.4,17.7,4.0,2891,829537443,40.5,2,20.6
2006,Argentina,22.9,16.6,2.1,2272,1069151826,18.4,8,16.6
2009,South Africa,17.0,14.6,1.5,1558,1002416208,11.1,9,44.0
2022,Australia,16.0,5.8,4.4,2548,916438404,11.6,8,65.7
2002,Australia,15.3,8.3,1.7,2519,1235851188,36.4,6,13.3
2017,China,23.5,2.5,4.4,652,165154106,33.9,9,35.3
2023,Germany,18.3,4.2,3.0,2976,1017684486,40.2,1,52.5
2012,China,30.0,15.8,2.6,1007,144123536,47.2,6,37.8
2006,Argentina,25.1,14.4,4.6,990,417520615,36.1,6,58.4
2003,UK,7.1,12.1,3.4,844,727544812,12.0,10,20.8
2012,Canada,24.2,18.0,3.3,2435,240259011,16.0,4,67.6
2019,India,13.1,11.9,3.2,2261,556011992,42.9,8,33.1
2000,Canada,22.8,9.6,2.5,720,248996061,14.4,12,30.5
2007,France,25.4,7.1,4.1,2438,444435735,8.3,11,62.5
2013,Canada,11.9,18.8,2.0,2442,254618460,36.6,10,43.8
2015,USA,18.7,2.1,4.8,1222,977078792,23.1,2,41.0
2013,Canada,10.7,18.7,4.6,1027,1167788803,46.4,3,53.6
2011,China,6.6,16.6,2.3,2022,189064050,34.3,0,44.8
2018,Brazil,16.4,3.0,3.9,2164,446630103,9.1,5,19.8
2022,Indonesia,15.9,11.5,3.3,980,838390349,47.7,3,50.5
2014,Brazil,34.9,17.4,2.4,2371,1269827972,16.6,0,18.0
2001,Australia,18.4,11.7,5.0,1962,66141905,20.2,1,58.4
2001,Indonesia,15.0,18.2,1.1,1925,389949929,23.1,14,69.4
2022,Mexico,22.4,18.9,2.0,844,722568466,7.3,2,32.6
2021,India,7.7,8.7,3.1,544,479208779,27.3,8,36.7
2018,India,33.8,7.9,3.1,2568,573634321,10.5,12,12.8
2021,USA,24.0,18.8,3.4,2157,1169884055,23.0,7,10.8
2021,UK,27.6,13.7,4.0,2387,1363325194,20.8,6,65.3
2016,China,10.1,2.8,3.5,2595,733130914,39.8,12,17.7
2019,Australia,17.3,1.3,3.4,2014,59676502,41.1,14,36.7
2009,South Africa,17.7,11.5,1.2,2834,125314911,11.9,10,58.9
2005,France,29.7,18.6,2.5,1501,1030270792,21.5,11,63.4
2014,UK,5.0,17.0,1.9,1533,1211235150,21.8,13,41.2
2021,India,14.0,13.7,2.1,2540,140110299,11.8,3,43.9
2010,Brazil,34.4,3.2,3.2,773,1263782460,40.9,0,50.2
2004,Canada,19.2,5.5,1.8,1455,60556258,36.8,7,67.7
2000,Canada,16.5,17.6,2.2,2279,329517333,13.6,3,46.2
2007,Mexico,8.6,4.1,1.9,880,1275080026,21.5,2,43.6
2020,Australia,34.2,5.9,4.8,1852,1332348555,9.8,8,10.9
2011,China,5.6,3.0,4.8,978,883572947,33.3,9,14.9
2011,China,27.1,13.7,3.4,2562,1024446336,10.5,3,44.6
2004,Germany,28.1,18.9,4.7,1015,806325524,49.4,3,66.2
2006,Argentina,12.3,5.7,4.1,690,964717552,40.1,13,62.0
2003,Japan,25.1,9.8,3.4,1691,1077312172,22.6,8,69.0
2005,India,7.8,12.9,1.0,1660,20339904,31.0,12,41.7
2012,China,12.7,20.0,4.1,2701,1014597705,46.0,11,57.3
2019,Mexico,28.6,2.5,3.8,1911,1121338990,29.9,10,60.4
2014,Brazil,30.9,10.2,3.5,771,617520058,12.9,11,48.9
2002,Australia,23.3,8.0,4.0,642,40028538,22.0,13,30.3
2022,France,20.2,17.4,3.1,2412,797324959,42.9,1,38.2
2007,Germany,9.8,9.8,3.8,1592,637933053,34.0,13,61.5
2019,Mexico,6.9,2.7,4.7,2794,782955174,34.3,11,27.9
2015,Russia,8.5,12.9,2.5,1287,48647611,44.0,4,65.4
2012,USA,11.8,15.5,3.8,2626,56245653,45.2,14,23.8
2017,France,15.3,0.6,2.9,2181,342901215,46.4,3,55.0
2009,Argentina,16.4,17.2,3.7,1122,306798170,9.3,8,47.8
2018,Russia,15.4,4.1,4.1,1437,889870619,29.5,11,55.0
2016,South Africa,12.2,11.3,1.2,1618,663913018,38.3,4,36.2
2023,Argentina,20.3,8.6,3.6,1116,599934182,39.1,8,66.0
2018,Canada,29.8,14.5,1.9,1531,298239516,32.3,10,47.9
2022,USA,13.4,7.7,3.7,566,1049605777,12.5,8,27.3
2004,India,33.3,17.5,2.9,690,357936501,40.9,13,48.3
2020,Brazil,31.2,14.7,4.1,1020,937363773,37.4,1,27.2
2022,USA,9.9,13.1,1.5,1489,688166625,8.9,13,27.6
2008,Argentina,28.6,16.0,3.5,1640,398067665,25.9,14,34.0
2011,Japan,22.2,15.2,2.1,2814,565411899,12.8,8,61.1
2020,Russia,22.0,1.2,4.4,2134,1128364538,20.2,2,40.0
2000,India,16.7,8.2,4.7,1687,349817800,5.8,3,50.7
2000,Indonesia,20.0,18.7,5.0,875,938024200,23.0,0,33.5
2014,Japan,16.9,3.0,4.2,1152,1048951853,29.7,13,25.8
2001,Canada,21.2,14.9,4.0,1048,535387911,32.9,0,67.3
2021,Japan,23.8,19.5,1.9,1597,428766962,34.9,0,46.2
2015,Germany,25.2,1.5,2.3,572,217257105,42.6,8,66.0
2007,Germany,21.0,13.8,2.9,2855,1064569796,14.7,10,22.2
2012,South Africa,26.6,9.6,4.1,698,60938189,10.4,7,18.8
2020,Argentina,9.2,11.8,4.7,2281,817572573,43.3,4,61.3
2000,Australia,11.4,2.2,1.8,1071,1388230143,12.0,4,50.9
2015,France,29.6,1.3,4.7,1290,1379671819,48.9,8,21.2
2006,France,14.7,13.5,3.8,2138,690916097,42.9,2,26.2
2004,Indonesia,5.7,16.6,3.4,2331,113072938,27.5,2,58.0
2021,Indonesia,9.6,15.7,1.8,2355,744131853,49.2,6,37.2
2022,India,11.7,11.1,1.2,2010,807462613,9.4,8,50.2
2002,Canada,33.7,2.4,3.3,1674,1146777310,18.6,5,29.1
2011,China,22.2,13.9,3.6,678,1175564118,33.7,13,32.9
2015,South Africa,33.0,5.2,1.8,2744,514381167,20.8,1,69.4
2018,Germany,22.3,18.3,3.2,1234,1016644563,46.8,0,24.9
2004,India,19.4,16.8,4.4,2636,990213564,8.0,1,40.4
2021,China,14.4,14.3,4.3,1298,222866661,29.7,13,60.7
2013,France,23.2,19.0,4.7,1287,458035062,31.6,13,24.4
2004,Australia,9.2,1.1,2.5,708,212718211,34.4,0,34.9
2014,Japan,31.9,14.9,2.3,992,1382916110,16.5,9,46.9
2016,Germany,29.9,6.9,4.0,2157,597867288,21.4,9,38.9
2013,India,14.5,18.2,2.7,1231,1063134918,43.0,8,37.6
2019,USA,33.6,5.7,1.4,1629,1356634360,13.8,14,31.8
2004,China,29.8,14.6,2.1,2105,206788510,42.2,9,45.2
2011,Japan,25.0,17.6,2.7,1093,1378540228,30.3,14,47.5
2015,Germany,8.7,1.3,2.2,1715,907925675,39.3,11,49.2
2015,France,19.3,8.3,2.3,824,826741489,37.1,13,14.2
2020,Mexico,20.2,15.4,2.2,1478,30190953,14.3,12,47.9
2006,Canada,12.0,9.4,1.2,2249,1330161573,30.6,7,67.2
2003,China,7.4,5.7,3.5,2350,1134255035,44.0,14,42.5
2000,France,28.3,4.8,3.4,1990,61481382,24.4,6,52.9
2004,Germany,8.7,3.1,3.6,1393,1200864257,48.5,14,43.4
2022,China,22.8,17.2,1.8,1890,97623054,25.3,2,61.3
2009,South Africa,33.1,11.7,2.2,643,329758237,11.4,7,65.8
2021,Japan,31.3,2.0,3.5,883,606697131,22.5,1,21.1
2004,UK,13.3,8.0,3.4,2763,1230785104,47.8,1,36.2
2003,Germany,30.5,7.7,3.0,2871,1038669571,19.4,10,33.5
2001,South Africa,5.0,4.0,2.4,716,779600765,44.1,9,34.3
2019,Russia,5.5,9.0,4.7,2015,12631400,44.7,2,17.5
2009,India,23.1,7.0,2.4,2730,928647198,20.8,6,58.8
2018,Mexico,15.9,7.2,2.8,2817,461954875,8.7,0,12.1
2000,Indonesia,16.6,14.9,3.7,1990,381441078,37.6,7,41.7
2023,Japan,21.9,4.9,3.2,2135,760660662,19.0,11,49.7
2004,China,10.8,13.0,2.4,2852,34357473,40.2,6,22.4
2012,Canada,11.4,11.6,2.7,1667,276284677,24.9,3,64.4
2003,France,19.5,11.6,4.2,610,413929509,26.8,13,60.3
2015,Indonesia,27.6,13.4,2.1,1513,1029993337,40.0,14,38.3
2023,USA,23.6,11.2,1.6,731,1196150514,22.2,4,34.7
2015,France,13.9,17.6,2.3,2214,907108797,24.9,9,24.2
2022,China,17.9,13.7,4.4,2255,804974926,21.9,12,53.8
2001,Mexico,10.1,11.2,1.4,2077,131368589,21.5,0,17.9
2016,Argentina,7.2,16.7,5.0,1796,1353028485,28.7,3,50.8
2019,France,28.5,12.3,3.2,2720,1331017695,41.4,14,60.5
2023,Argentina,13.0,6.2,4.9,1472,935533058,21.3,0,23.7
2011,India,10.3,4.5,4.8,1530,575572757,28.6,0,62.0
2017,Mexico,25.7,3.5,2.8,1017,761831829,35.2,9,12.0
2002,Germany,23.5,18.0,1.8,1413,512192626,17.1,0,64.8
2000,South Africa,24.0,14.3,1.7,2762,313096322,17.5,6,17.1
2000,USA,11.9,18.8,2.0,2681,297043004,47.0,6,48.7
2018,Brazil,12.0,12.3,3.8,2832,856099723,37.6,3,25.0
2010,China,11.6,9.7,2.1,2444,946279632,31.0,14,60.2
2004,Australia,10.2,1.7,2.4,1962,517404742,34.1,12,40.7
2011,Brazil,24.7,13.6,2.8,2372,1091856204,6.3,11,18.1
2002,France,30.4,11.9,4.7,2878,193419191,32.8,1,44.3
2000,Indonesia,26.7,19.8,1.8,1807,540634691,27.9,11,34.5
2000,China,28.8,5.2,1.0,1398,385683145,29.6,2,49.7
2007,South Africa,17.1,10.8,1.2,1598,1245372198,21.2,7,62.9
2009,Russia,24.6,13.2,4.6,1689,925981847,8.7,12,34.6
2010,South Africa,15.6,13.1,3.6,1712,1026431056,13.7,7,27.4
2011,Australia,20.8,11.4,2.1,2625,1165547123,47.8,10,10.9
2012,USA,19.4,15.7,1.7,1187,918159557,23.4,10,44.5
2011,South Africa,10.3,4.5,2.2,2568,1119101202,26.0,5,34.1
2013,Canada,16.6,14.6,1.5,1065,956249631,7.4,14,32.5
2001,Russia,33.9,12.6,4.8,1707,877308425,6.7,9,21.0
2018,Brazil,12.5,18.0,4.1,2394,32747976,37.3,8,35.8
2017,Germany,9.0,17.0,2.8,1326,934953242,29.2,10,69.1
2002,India,17.6,6.6,4.5,1851,40236300,27.9,11,27.9
2022,Canada,28.7,5.9,2.0,2726,599372628,15.9,8,46.0
2016,UK,22.5,19.6,3.9,2311,1290081090,38.5,3,56.6
2007,Russia,25.4,10.8,4.4,1582,1038917176,12.6,11,54.9
2009,Germany,10.7,18.2,2.4,1850,1303590308,13.5,0,29.7
2001,Germany,23.6,3.7,4.0,2144,293218023,25.7,0,46.7
2018,China,14.7,13.0,2.2,690,931316975,17.9,14,62.3
2008,Russia,30.0,16.3,2.2,1723,1362092917,16.1,11,10.9
2006,USA,23.9,19.0,1.4,1835,1146873886,34.0,9,36.1
2003,France,11.0,7.1,2.8,1207,1151159927,34.3,14,23.5
2020,Australia,6.9,14.6,3.9,878,26451115,42.1,4,33.3
2017,UK,6.3,11.0,4.8,886,1193832295,23.8,13,35.0
2012,Australia,16.1,1.7,3.4,2784,393935884,8.3,12,54.8
2010,Brazil,13.0,14.0,4.5,1115,1060152685,17.3,1,15.6
2023,Brazil,24.4,14.0,4.3,2042,55101132,49.1,14,40.8
2003,Australia,20.0,18.6,1.7,2830,621558597,31.8,5,43.9
2020,South Africa,13.0,10.2,2.9,2548,805165392,36.9,6,39.6
2003,USA,9.5,5.0,1.5,2254,786397155,5.3,0,53.9
2009,Argentina,8.8,1.4,3.7,963,1344612647,28.3,5,33.0
2004,South Africa,30.9,8.6,4.8,1466,999167792,6.7,7,66.7
2008,Indonesia,12.3,6.4,1.5,671,262587298,30.6,11,38.9
2023,South Africa,24.6,15.3,3.9,1646,583534992,46.4,4,44.3
2002,India,29.3,7.4,3.5,1342,866716200,48.6,13,59.5
2016,Japan,23.4,19.0,3.3,1821,43209016,29.3,11,26.5
2002,France,30.8,19.3,2.6,2408,1193787532,25.6,6,14.5
2015,India,16.8,12.6,2.4,1189,970973825,47.5,9,52.5
2003,China,33.7,18.6,1.2,2007,757020571,35.3,5,39.0
2017,Japan,9.0,15.3,1.9,2712,831550186,7.9,3,63.8
2016,Japan,8.1,11.2,1.1,2524,1144515609,26.0,14,69.0
2006,Russia,24.8,4.0,3.3,2222,1307076526,15.8,14,33.9
2023,USA,33.3,9.4,1.4,882,589637290,26.1,6,34.9
2022,USA,29.3,11.4,4.5,2756,1339427830,25.5,9,34.5
2004,Japan,7.3,17.3,3.1,1912,1263362850,31.2,8,29.5
2011,Indonesia,13.4,9.9,3.8,2083,1358606331,21.1,9,56.9
2016,South Africa,32.9,18.0,2.6,2771,976037143,12.4,9,55.5
2022,Russia,12.6,13.6,3.2,2550,829586067,27.7,12,38.7
2012,France,28.4,3.2,4.8,871,226805324,42.4,6,12.7
2022,Japan,29.8,19.9,1.3,2210,968059240,34.9,11,28.6
2002,Canada,19.9,10.8,2.0,1969,449460600,20.2,13,27.5
2008,Brazil,16.6,8.1,4.1,1110,698150132,47.1,4,58.7
2016,Brazil,18.5,13.4,1.4,615,297280556,46.0,6,15.3
2016,India,11.8,2.6,1.3,946,472080203,14.4,2,58.3
2019,China,31.7,12.9,2.4,1891,136202316,6.8,1,50.2
2015,Mexico,18.5,10.2,1.4,1840,672570272,38.4,10,53.9
2021,Mexico,31.5,8.4,3.3,914,1082464871,42.2,14,35.9
2012,Brazil,8.2,19.1,1.9,2308,294211471,48.6,4,50.8
2018,Argentina,34.6,10.7,4.6,1547,298632383,45.0,3,46.5
2016,Germany,18.3,4.8,4.1,2373,1180680940,32.0,4,56.1
2003,India,6.4,9.4,3.8,1573,9918562,28.9,7,36.8
2011,Mexico,6.1,18.4,3.5,1217,1120735671,6.3,11,38.4
2008,Brazil,27.4,3.9,4.5,1858,79510809,16.1,3,48.6
2018,China,24.8,4.7,1.9,2105,341648458,25.7,14,16.5
2011,Mexico,29.1,0.8,4.5,2818,955410877,33.3,8,36.2
2008,South Africa,8.2,0.8,4.2,1061,748997300,30.1,6,68.3
2006,South Africa,6.1,16.7,4.0,2794,298662647,38.4,9,12.3
2013,USA,20.3,14.8,3.2,886,202353097,17.6,12,29.0
2019,Indonesia,16.6,7.4,2.0,1201,566743465,30.4,11,28.8
2018,USA,18.9,14.1,2.7,1472,922097331,9.0,6,48.0
2014,France,34.7,8.2,4.2,1884,81521377,23.6,14,16.3
2015,Japan,34.1,19.1,1.1,1483,220754183,38.8,12,47.7
2020,Canada,33.3,19.4,4.1,2011,117312606,36.2,12,15.7
2004,USA,28.5,8.2,2.0,851,1001119882,49.6,7,15.7
2002,UK,15.6,17.2,1.6,2224,1274221100,17.5,11,53.7
2011,Mexico,17.4,15.6,1.5,2451,1333450369,27.4,5,29.4
2019,Argentina,21.5,6.5,1.1,1779,781668712,19.8,7,68.6
2020,Russia,29.9,5.0,3.1,2407,536210430,24.8,2,12.2
2003,Brazil,7.1,9.4,1.9,1252,18750431,43.6,9,36.7
2020,Russia,17.7,15.7,5.0,1524,655879251,35.8,9,16.8
2022,UK,7.5,19.2,3.3,1045,1387457528,44.7,13,31.1
2015,China,20.4,15.4,1.6,1969,227429665,14.2,0,69.9
2006,USA,32.0,17.2,3.8,578,1109563889,44.3,5,63.3
2012,Canada,28.5,12.3,4.6,1759,232840139,7.7,0,12.9
2020,China,11.8,16.8,4.0,2881,573451526,45.0,8,43.8
2009,Germany,34.3,15.8,1.3,1388,1280706662,19.8,13,48.9
2006,Germany,25.0,7.9,4.6,1605,703458181,19.2,1,22.6
2013,Russia,5.3,11.3,4.2,2490,892723644,28.0,10,18.7
2004,Japan,12.7,16.2,1.6,2000,1307202006,47.3,1,64.3
2002,India,12.8,1.4,1.2,1420,457184922,7.2,6,68.1
2022,Japan,7.1,16.3,3.2,1049,521147693,20.9,1,69.5
2010,Mexico,33.8,4.0,1.6,2561,1185883781,43.5,9,57.4
2010,UK,19.3,10.5,4.3,891,1297221349,22.8,7,49.8
2017,South Africa,31.9,16.3,2.4,2857,1323666625,14.0,5,30.7
2014,France,14.7,5.4,4.7,2933,1151040277,24.1,13,20.3
2011,Japan,8.8,5.3,3.3,1880,552503699,22.3,6,14.7
2008,Indonesia,19.2,8.4,1.7,1473,490479768,46.2,6,51.6
2009,France,8.4,17.9,1.6,839,619079995,39.3,5,57.1
2011,UK,19.6,0.5,3.3,1256,167459760,27.7,9,59.6
2016,France,32.6,18.1,4.0,1545,333230308,49.5,10,64.8
2005,Canada,20.6,3.5,4.1,2838,1138205296,25.9,8,62.8
2006,USA,23.5,19.8,2.1,2853,629814899,7.6,12,70.0
2013,Canada,9.7,19.1,1.8,1438,1141561184,16.8,8,24.6
2012,France,6.3,10.1,1.1,1347,1318582449,24.6,14,55.8
2007,China,8.3,10.5,3.7,941,124297006,12.1,6,45.2
2009,Germany,23.0,9.9,1.3,629,1082501828,47.6,8,25.7
2008,France,7.9,12.9,2.7,1096,148647462,39.5,12,68.9
2017,Canada,16.3,2.3,3.4,2458,1391480145,17.1,9,63.9
2001,Argentina,21.5,1.1,4.7,2005,597841637,31.6,2,17.7
2004,UK,16.7,1.6,2.2,1361,367224757,37.5,2,11.6
2004,China,9.9,9.2,2.0,1498,350813108,47.4,0,51.3
2005,Canada,13.2,5.9,3.6,2872,1257944094,44.7,4,46.2
2018,Japan,32.8,12.6,3.5,2995,1274619263,28.2,14,66.1
2007,Brazil,25.3,19.9,2.3,2051,196111561,39.9,3,24.0
2015,Russia,19.9,8.0,4.7,2140,1139652750,30.3,1,15.1
2012,India,5.4,11.7,4.4,2011,574018793,29.9,8,25.6
2000,South Africa,34.8,8.6,1.9,2236,824102127,10.2,2,11.1
2021,Canada,25.1,17.0,2.0,1949,1268064913,10.7,14,12.2
2019,Indonesia,14.5,18.1,3.0,2357,947298966,28.8,7,64.9
2016,India,31.4,17.6,4.1,764,702602016,17.1,5,31.1
2006,UK,12.8,19.5,1.2,1962,444312143,5.9,13,34.6
2012,Argentina,21.3,1.0,3.8,656,449021301,37.5,12,11.1
2003,Australia,24.1,16.9,3.6,1945,366223269,6.5,4,26.2
2003,Canada,11.6,15.2,1.9,2798,625984226,31.8,0,58.3
2005,Brazil,34.4,5.0,3.7,2132,104922177,29.3,3,46.9
2018,India,27.4,19.1,4.8,2874,122071965,48.6,2,55.2
2011,South Africa,21.7,3.4,1.2,1394,717982156,26.8,0,36.8
2021,France,10.4,13.8,2.3,2644,1148375055,7.9,11,28.6
2006,Canada,6.6,4.9,2.8,1012,459323770,29.8,14,39.0
2009,USA,14.6,8.9,4.6,715,643338166,42.8,4,29.4
2018,Argentina,27.6,14.5,4.8,2672,555420966,49.9,5,60.3
2006,UK,13.1,11.5,2.8,2206,1041665235,24.4,1,27.9
2002,Russia,21.2,8.8,4.0,2606,542400855,19.4,14,49.6
2012,Brazil,26.8,6.9,3.1,2067,615628540,45.8,13,18.2
2012,Mexico,8.2,16.9,3.2,2708,324319642,13.6,2,51.2
2017,Mexico,25.6,3.3,2.1,2831,1357107613,32.7,10,64.8
2019,Indonesia,7.8,8.9,1.9,2653,483741561,23.3,13,46.5
2007,India,34.0,18.1,2.2,1628,522918956,6.8,14,43.6
2008,Brazil,19.7,17.0,3.2,727,212780506,20.6,5,67.7
2006,China,9.5,8.3,1.1,2865,945299929,16.9,3,47.6
2000,South Africa,15.3,15.4,4.6,1987,1106864831,35.9,8,25.6
2002,Russia,17.4,16.6,1.6,1301,583661545,47.7,4,27.5
2012,France,27.7,17.8,1.9,2122,1117897844,17.1,3,52.3
2016,Canada,27.3,11.1,3.1,2405,574525178,41.5,1,54.1
2023,Canada,23.4,4.5,3.8,971,1380296219,7.5,5,28.2
2000,Mexico,8.2,5.5,1.4,1579,475061537,29.2,9,30.7
2005,Canada,9.5,6.3,2.3,2560,904452825,8.2,1,69.5
2020,UK,7.8,12.1,4.9,1541,31063151,47.0,11,16.1
2005,Russia,22.3,1.1,2.0,2660,484197278,39.5,12,34.3
2011,USA,31.3,12.9,2.3,728,310976210,34.6,6,13.7
2012,Australia,18.0,7.6,4.3,670,1014270408,42.1,2,59.3
