Year,Country,Avg Temperature (Â°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2012,Indonesia,9.8,6.3,1.2,794,1182540700,34.1,8,15.5
2014,Germany,21.7,17.7,2.9,688,598463676,48.6,10,50.4
2020,Japan,29.4,9.5,2.5,925,733726265,37.1,4,13.4
2015,Indonesia,27.3,2.4,2.3,1476,1132944962,46.6,7,50.4
2021,India,31.4,16.6,2.1,1602,1242658359,28.3,10,60.6
2020,USA,13.3,1.4,1.4,1418,1199856255,10.3,5,33.9
2010,Indonesia,10.8,14.7,2.3,998,442921564,28.8,13,41.3
2004,France,31.4,15.6,1.2,2321,663371850,10.7,11,34.1
2003,Mexico,24.7,7.4,4.1,1365,106846880,31.7,9,28.0
2002,Argentina,14.3,16.6,2.6,1325,845772793,26.7,7,58.2
2018,India,27.3,10.6,2.8,2358,322950922,33.0,12,26.3
2019,Canada,29.5,9.5,4.6,2618,968769498,5.5,12,53.4
2017,Brazil,23.4,1.4,3.6,2795,958819872,13.8,10,22.4
2014,France,25.6,6.2,1.0,645,93966977,27.1,11,25.0
2008,India,16.3,18.7,4.8,2141,281361562,47.8,2,30.2
2016,Argentina,21.2,8.1,1.9,1819,395181795,22.3,2,45.3
2013,South Africa,20.7,11.2,1.4,969,1383289354,24.1,4,37.3
2014,Canada,30.4,10.9,4.1,692,778188462,37.2,10,54.7
2000,Indonesia,30.2,12.0,3.0,1591,629396369,32.2,9,22.8
2020,Indonesia,30.0,1.7,2.7,551,633829632,18.5,2,10.6
2021,India,5.3,7.6,2.0,2910,62104574,23.5,7,56.6
2021,Brazil,27.5,14.6,3.2,2320,552258722,14.8,9,59.3
2002,South Africa,27.8,4.4,2.1,2369,169324386,48.5,12,13.6
2015,Canada,25.4,4.5,4.6,2286,646048990,10.9,11,46.7
2022,Argentina,27.7,0.7,1.9,1954,1096617947,21.7,13,32.7
2010,Australia,30.3,9.0,4.5,2367,1151520192,6.2,7,57.6
2011,Indonesia,19.1,17.7,3.2,2507,1082449514,15.0,1,62.5
2009,Argentina,20.1,1.5,4.3,1934,380527763,40.1,11,61.1
2015,USA,8.7,4.2,3.9,1339,172575234,14.1,3,56.6
2007,Indonesia,16.6,6.5,3.8,740,914386174,8.6,9,26.1
2005,Argentina,24.3,14.8,2.3,1035,417690049,26.4,12,58.7
2011,China,28.4,13.0,1.9,1907,276902589,5.4,0,42.0
2023,Mexico,11.5,8.6,1.8,582,866432043,8.8,3,13.2
2020,Japan,9.1,15.3,4.4,1481,399126588,41.3,11,37.4
2007,Russia,24.9,12.4,4.3,1450,1397016073,39.7,12,66.5
2003,Mexico,5.1,18.0,2.8,1110,237659268,46.2,12,63.3
2007,UK,10.4,16.5,1.5,1073,1221935909,43.5,10,16.1
2017,Japan,5.9,5.4,2.5,2833,606960201,35.7,12,54.6
2004,France,10.0,5.8,3.5,1488,1182846641,7.4,3,58.3
2008,Argentina,10.4,2.9,2.8,958,1339539083,40.2,9,26.3
2003,Japan,16.6,7.1,4.1,2673,109741109,43.0,8,38.3
2021,UK,17.1,20.0,5.0,2022,284705392,41.0,14,52.7
2016,Canada,31.2,8.4,1.8,2972,695971780,27.9,2,36.3
2008,Australia,20.3,4.8,2.8,2484,1362033433,15.5,14,16.8
2000,China,26.7,15.4,2.7,2066,784881916,43.0,1,52.4
2020,USA,8.1,11.1,2.2,2659,1072790036,37.7,8,64.7
2019,Argentina,11.8,3.4,1.8,2949,697781804,49.1,8,49.1
2012,USA,26.1,7.9,1.3,621,857993113,12.0,0,56.4
2015,Brazil,6.6,8.6,4.5,772,925802277,15.2,5,31.5
2012,Indonesia,19.6,15.2,2.7,1817,1319258942,14.5,9,21.0
2013,Argentina,23.0,0.9,3.0,897,1152666411,40.7,7,48.6
2002,Russia,23.1,5.7,4.7,1484,246218329,13.4,2,29.7
2005,Argentina,5.7,10.6,4.1,1730,1356785799,8.0,10,61.6
2017,India,14.7,5.7,1.5,1633,538949949,49.9,8,17.4
2018,Australia,24.1,12.8,3.3,1801,717984590,6.1,1,36.0
2004,India,9.5,9.9,2.8,2410,668910266,42.6,5,33.8
2014,Argentina,25.9,7.6,4.2,2005,441359567,21.4,0,66.3
2001,China,27.4,19.0,3.9,2416,171927360,42.9,12,19.2
2009,Japan,34.5,12.8,3.8,1319,52187343,30.0,6,10.6
2023,USA,11.3,3.0,2.4,2456,420542436,45.6,2,24.3
2017,China,29.8,11.4,4.2,2868,600974146,46.7,6,59.2
2012,Argentina,20.6,15.7,1.2,678,927578734,5.4,3,22.6
2004,UK,16.2,14.3,1.6,1396,331580116,8.4,8,24.5
2022,Japan,8.7,3.9,2.3,2766,734430197,16.3,4,17.8
2023,UK,27.1,19.5,1.3,2472,1018161882,35.1,2,52.9
2000,USA,12.1,9.3,1.9,2051,1380798693,45.0,14,14.2
2021,Japan,16.1,3.6,4.3,991,5467801,25.7,7,29.9
2000,Russia,6.9,4.0,4.8,560,1051785465,32.3,5,26.9
2017,Australia,29.0,2.4,2.2,1577,313504125,13.5,1,43.3
2014,Mexico,28.0,16.2,2.1,2203,590386085,41.2,2,53.8
2016,South Africa,27.0,2.9,2.1,564,1045450055,48.5,7,42.0
2010,France,14.0,2.9,2.1,1085,218199220,17.1,14,65.9
2020,China,10.2,17.1,1.1,2227,738275078,27.3,9,67.1
2021,Indonesia,24.1,7.2,4.7,2718,827751807,8.9,6,31.7
2016,China,19.9,1.1,1.9,1034,438565972,30.2,9,56.7
2012,South Africa,10.3,1.5,2.7,2655,1093034759,27.6,5,54.3
2000,Mexico,25.6,3.3,1.0,2370,563852853,11.5,13,63.6
2001,Germany,34.7,4.7,4.4,1504,1377569278,24.9,0,36.9
2008,Canada,27.4,13.5,3.9,2999,108305812,20.0,8,41.8
2002,Russia,27.2,3.6,4.8,1729,1117841407,28.5,2,34.9
2000,UK,33.5,2.8,4.1,1539,949007159,31.4,13,61.0
2020,Argentina,11.1,15.4,2.3,826,210449747,5.4,4,23.8
2015,Russia,22.0,13.6,2.0,1107,61229895,39.2,6,24.4
2022,South Africa,34.4,9.0,3.8,501,455208813,37.1,14,32.4
2005,Argentina,10.0,11.2,2.5,1533,567420977,21.5,6,23.8
2016,Indonesia,26.0,6.6,3.3,2981,117179548,7.4,2,43.7
2004,India,22.6,9.9,1.0,624,200614447,39.0,14,18.1
2004,Japan,22.6,10.4,1.2,1604,355479880,48.0,3,29.2
2005,Canada,25.9,8.1,3.1,2361,393359182,15.8,9,64.8
2002,Australia,32.9,18.2,3.3,1673,790364317,19.6,6,34.6
2020,Australia,28.5,0.8,4.0,628,1103288537,13.3,7,54.9
2022,South Africa,6.7,15.8,1.5,937,1088137161,31.0,1,16.8
2004,Russia,30.6,2.9,3.1,1250,355055964,12.0,8,24.9
2020,Australia,11.8,16.1,1.8,1721,977900597,21.0,6,58.4
2004,Indonesia,16.3,12.5,1.4,2758,802398351,36.4,12,55.8
2009,UK,18.9,16.9,2.6,1401,809451155,30.2,7,33.2
2009,Germany,19.4,2.4,1.7,2592,814653356,22.4,5,67.3
2018,China,18.1,11.4,1.9,1802,792341941,23.9,5,64.6
2016,Brazil,33.1,10.3,2.3,1933,245823381,30.3,8,67.7
2020,Indonesia,26.2,14.3,2.0,890,378091478,5.3,3,35.7
2013,Argentina,23.9,10.9,1.4,1567,537312924,8.5,10,21.8
2008,France,6.5,11.0,1.4,526,76154255,44.7,10,47.6
2013,South Africa,32.1,8.9,1.8,1047,110285989,8.5,4,51.1
2000,India,32.3,6.5,1.2,1066,211473371,36.8,8,17.5
2018,Japan,28.4,9.9,3.5,1203,471260143,46.4,0,57.2
2012,France,5.2,2.8,2.1,1742,313545957,17.2,3,11.1
2012,Japan,6.7,19.2,2.1,684,872248030,21.7,6,39.0
2003,USA,11.8,14.4,2.3,2090,1373223501,30.6,10,29.9
2000,France,8.9,19.1,3.7,2413,178651192,44.7,14,54.4
2016,Brazil,17.0,4.9,4.5,1347,1221021496,47.4,8,28.8
2007,Russia,32.7,17.6,4.0,1098,414805054,38.3,14,59.6
2001,Germany,19.2,16.3,3.9,1305,1178735383,8.9,13,45.7
2007,China,5.4,13.7,2.9,1857,115282073,35.1,12,57.6
2006,China,13.5,12.7,3.8,2626,1011298802,23.5,10,69.4
2001,Germany,6.3,6.7,3.2,2378,1119422832,26.2,11,50.7
2021,UK,6.1,16.4,1.9,2960,540662250,7.2,12,69.1
2021,Canada,13.3,10.3,1.8,1045,347844379,13.6,9,11.7
2002,USA,13.3,1.9,2.2,2132,927083911,40.6,5,30.3
2017,Japan,28.6,6.6,4.6,2716,1039025430,25.4,11,16.5
2011,Brazil,34.2,18.7,3.2,2579,803907356,18.6,7,25.7
2000,Australia,16.1,17.1,3.9,2834,753610692,22.3,12,60.3
2021,France,17.9,19.6,2.4,2426,885256390,43.4,8,11.9
2011,USA,30.3,12.7,2.6,1116,814540393,38.7,9,41.2
2004,Indonesia,13.0,5.3,1.5,2817,1219902888,17.3,3,44.0
2016,South Africa,9.7,3.7,1.7,1703,542638938,10.3,0,43.7
2015,France,30.6,4.1,4.3,2259,833635961,16.3,13,38.5
2014,Brazil,6.4,0.9,3.3,725,558731629,46.4,7,57.4
2022,India,23.6,8.1,2.4,1169,1314459009,31.2,1,18.0
2014,India,21.9,4.2,4.2,2263,757754968,29.0,10,28.6
2004,Argentina,15.4,8.5,2.0,1416,1114422920,31.8,0,46.9
2020,USA,14.5,18.7,4.9,2673,515313114,21.5,12,51.5
2013,Russia,28.2,8.9,2.4,2621,333480086,41.3,6,34.2
2001,Brazil,7.6,17.6,2.3,1714,552246665,28.5,11,62.5
2010,Brazil,12.1,12.3,2.2,2205,56127465,10.3,9,34.9
2018,Germany,27.0,5.3,1.5,2342,791709171,10.8,8,34.2
2006,Indonesia,21.4,7.4,1.4,2483,454764789,29.2,10,12.2
2005,Russia,8.8,2.1,3.6,555,1344684674,47.1,14,43.1
2001,Indonesia,31.5,7.0,4.5,1219,440187461,18.9,11,52.5
2005,UK,16.8,13.7,4.2,2579,339256508,44.1,11,16.9
2017,Japan,29.8,1.9,1.6,1073,1385374585,39.4,8,28.3
2001,Japan,28.6,4.5,3.2,1166,509030277,16.2,2,56.9
2017,Australia,23.7,7.9,1.4,783,1190249588,6.6,5,32.0
2014,Argentina,19.8,19.6,1.2,2244,1209870465,9.6,6,24.5
2018,China,34.4,15.8,3.6,2734,305046905,37.8,13,50.3
2001,India,9.3,14.8,3.1,997,874069049,14.0,9,21.8
2019,South Africa,26.8,2.8,1.3,1965,689862289,21.7,8,63.7
2005,Japan,10.7,15.7,1.1,629,1328981569,27.6,14,16.3
2000,Russia,15.1,15.8,5.0,1138,242436875,37.6,1,52.4
2023,Brazil,14.3,12.2,1.1,2661,743306453,10.1,7,40.0
2014,South Africa,33.4,19.8,2.8,2560,1064093028,23.3,13,62.2
2022,Mexico,34.0,6.8,3.0,2991,1229940655,26.8,6,17.6
2009,Indonesia,10.5,18.9,1.5,2994,1289226003,29.3,3,50.7
2018,Japan,5.7,18.3,1.7,1485,604216448,41.8,1,44.3
2016,Brazil,26.6,0.7,2.4,1492,83325440,12.7,7,38.8
2004,Japan,17.5,9.3,4.0,2621,1350315792,41.4,10,39.5
2003,India,7.7,19.6,3.0,600,142785204,36.2,4,53.3
2009,Mexico,25.5,2.5,3.6,2723,144553139,30.0,5,66.3
2023,France,21.4,11.2,4.9,926,343707677,36.5,13,15.5
2016,Japan,34.4,19.6,4.1,540,902591144,23.5,10,11.2
2009,UK,11.8,11.3,2.7,928,716127278,11.2,6,58.3
2016,Russia,17.1,4.2,2.8,843,1241932098,35.0,14,16.5
2019,Japan,21.3,11.9,3.5,865,912478829,28.6,14,69.2
2023,China,28.8,4.5,3.7,1108,1180278134,33.8,9,47.2
2004,South Africa,21.5,10.6,3.0,1227,756443018,20.2,0,49.1
2001,South Africa,23.4,1.9,3.6,2776,936138519,45.8,7,21.9
2005,India,11.8,12.3,1.1,1324,1011963413,31.4,3,24.4
2020,Russia,30.4,10.6,2.7,1875,521663999,8.8,12,49.6
2001,Mexico,17.9,14.9,2.1,1388,207497580,25.2,8,64.6
2012,UK,9.2,12.8,1.5,2543,910306304,39.0,0,68.9
2010,Germany,24.9,11.2,1.4,1841,63908951,40.7,10,21.9
2010,Russia,11.5,14.0,3.4,1796,620506174,27.3,1,18.0
2015,South Africa,7.9,3.3,3.1,616,1113296994,45.3,13,13.4
2010,China,30.9,12.1,2.0,2915,3660891,17.0,5,62.1
2018,France,18.8,3.9,2.9,1617,955697187,23.5,10,27.7
2014,India,27.5,18.5,3.0,667,894808615,45.4,9,10.1
2022,Germany,13.7,1.8,1.8,2238,630704719,45.3,10,23.4
2022,China,28.6,8.9,3.6,1864,1090719866,35.9,13,30.4
2015,Mexico,8.4,14.1,4.1,1194,627755536,43.7,0,69.5
2010,Indonesia,15.7,9.4,4.2,1424,1089256242,9.0,3,41.4
2021,Mexico,34.3,2.3,3.4,651,1001208309,43.9,7,22.3
2015,China,28.8,11.3,3.0,1085,674280911,19.4,14,30.1
2007,Indonesia,19.9,13.0,1.2,1412,318523214,13.0,9,29.8
2003,USA,15.2,14.2,2.2,2821,788823352,15.8,4,11.2
2007,India,31.2,7.8,1.4,2077,403372362,23.8,12,18.1
2003,Russia,21.3,11.5,4.9,995,1095475598,16.3,8,51.7
2023,Indonesia,27.8,9.3,1.5,2648,1330131634,19.4,10,17.2
2002,Argentina,27.6,13.6,1.6,1056,711474124,11.1,10,23.8
2002,Indonesia,5.5,11.9,4.6,1605,10978954,18.3,5,31.0
2017,Brazil,8.8,10.8,4.8,2052,1256199697,30.8,0,55.5
2018,France,24.8,5.4,4.1,2620,1267230374,24.9,5,44.9
2018,Brazil,9.8,0.5,1.0,656,239135473,20.6,5,51.3
2020,Russia,12.7,3.9,1.0,1234,278429462,38.6,12,44.0
2004,Russia,33.4,2.8,2.5,2679,1084717946,45.2,5,51.0
2017,India,21.8,9.3,1.6,1927,1113231627,39.1,7,10.2
2009,Russia,27.5,12.4,1.1,1058,1142110790,19.9,14,65.9
2021,South Africa,21.7,4.7,2.9,2654,845679328,38.5,5,16.7
2020,Indonesia,21.6,18.8,4.8,2812,445421988,11.8,4,34.4
2005,Indonesia,7.8,0.6,2.3,654,673431694,10.9,14,56.3
2000,USA,15.3,15.6,3.6,1496,884137537,20.6,10,36.1
2004,Germany,13.5,12.7,3.6,2794,489265598,41.3,1,66.8
2008,Russia,16.7,7.8,2.0,1030,725773318,16.1,3,38.1
2011,Brazil,29.0,1.5,3.6,2471,959148511,7.8,13,62.5
2013,Russia,16.2,12.7,1.8,1228,197145427,10.9,14,58.6
2001,Mexico,18.6,8.0,1.5,1677,791167156,43.6,9,68.9
2016,USA,16.9,18.8,3.8,653,818022751,33.5,4,65.6
2013,South Africa,7.8,11.1,1.5,591,760436315,16.4,9,63.9
2012,South Africa,18.2,18.8,5.0,2885,90703756,30.0,3,53.9
2008,Japan,10.9,4.8,1.7,2003,1296305728,28.7,1,32.0
2014,Indonesia,10.6,14.7,3.4,2216,809753207,34.5,6,16.4
2021,South Africa,7.8,12.5,2.6,2997,306103394,15.5,9,51.3
2014,Indonesia,15.7,14.9,1.5,2516,1305532079,43.9,9,68.7
2023,Japan,27.7,4.7,1.1,1286,1368121693,18.9,1,53.6
2010,China,13.3,13.5,3.5,772,400506741,36.2,0,65.7
2015,France,14.4,10.2,4.2,2527,618908216,5.7,13,58.3
2016,Australia,24.3,15.0,4.4,676,321328118,21.8,4,19.8
2003,UK,10.9,6.9,2.9,1142,450513176,20.8,11,25.0
2000,South Africa,31.9,17.9,4.1,2398,64497807,29.5,12,30.5
2007,Germany,20.6,2.1,3.7,1066,57953426,8.3,0,20.1
2016,Mexico,18.4,16.2,3.9,1165,1270499456,40.6,0,44.9
2002,Canada,21.7,17.3,3.0,1831,461516676,14.8,14,68.5
2019,China,10.0,16.4,3.5,2298,608237759,35.5,0,55.7
2014,South Africa,23.4,10.5,4.2,1569,560722005,41.1,5,35.4
2014,Indonesia,15.9,9.0,2.6,2849,617022634,30.3,8,10.3
2023,France,31.9,19.9,4.2,907,1004488364,38.3,9,28.8
2021,Japan,10.1,5.0,3.4,1712,847894451,34.8,12,41.6
2013,Brazil,20.2,11.2,1.7,2353,420231924,21.0,10,29.5
2022,UK,22.9,13.6,1.1,1652,194197411,41.4,11,16.7
2013,Canada,6.0,14.2,2.5,1641,717609187,18.3,0,36.6
2023,France,15.9,4.5,3.2,643,373729923,30.7,4,25.2
2001,France,27.0,13.3,4.4,2989,1018260723,38.5,14,64.6
2012,South Africa,29.6,16.5,1.5,986,1381708532,22.1,8,16.1
2013,China,14.4,1.5,4.2,1359,709386257,18.6,13,12.9
2023,Argentina,29.0,18.3,4.5,2435,536217615,25.7,8,10.3
2018,Canada,34.0,1.1,1.6,647,670245096,41.8,0,29.7
2006,UK,30.7,7.4,4.4,1859,161097813,46.8,7,49.6
2002,India,8.5,0.8,5.0,1857,986237569,29.5,0,53.8
2014,Australia,27.2,2.0,3.9,589,761742932,34.8,14,37.2
2022,India,14.6,18.3,4.1,1857,938604707,45.6,7,51.1
2013,Argentina,34.7,7.4,5.0,698,785566655,9.4,0,31.6
2010,Indonesia,19.6,8.8,3.4,1037,235905387,15.4,11,50.1
2014,Indonesia,8.7,4.7,2.2,800,553908390,36.9,4,12.4
2012,Mexico,26.8,12.1,4.4,1223,76892270,42.1,7,33.4
2017,Canada,14.7,12.1,3.5,2098,1143896678,43.6,5,57.5
2005,India,34.9,7.8,3.3,1959,442386268,23.7,8,58.2
2002,Indonesia,34.4,7.0,2.0,567,168531317,9.0,0,53.0
2018,Argentina,24.7,17.8,4.0,2037,740582553,24.7,8,22.3
2014,South Africa,8.9,8.0,1.3,897,46184187,15.4,0,24.8
2022,USA,25.6,10.1,4.7,1119,299488478,18.1,9,69.8
2004,Japan,7.8,6.0,2.3,2084,604837682,39.8,9,16.2
2009,USA,5.9,15.8,1.5,1663,703726244,8.4,2,20.8
2006,Russia,29.7,8.3,2.8,1229,788798529,42.2,0,17.8
2016,UK,11.3,10.5,1.2,1055,824678707,24.2,2,29.7
2006,India,16.4,5.4,3.7,2452,30380783,31.8,11,22.6
2021,Mexico,34.2,19.8,4.6,2251,749585197,9.0,10,39.9
2011,Russia,15.1,6.2,4.3,2829,798368160,20.2,12,38.6
2016,Indonesia,13.9,15.5,1.5,1495,972853753,9.0,1,64.1
2012,Brazil,32.5,8.8,1.5,2459,802778534,48.3,1,12.1
2019,Germany,8.3,4.5,4.3,2101,567106041,41.3,8,29.2
2003,Brazil,27.8,16.1,4.7,1980,1047317550,25.7,7,45.8
2009,Argentina,34.6,7.0,2.8,2634,1283287571,15.1,0,46.3
2002,Canada,32.0,17.4,3.0,1602,1182222401,47.0,11,38.8
2008,France,24.6,18.3,2.3,2851,460686642,20.5,13,58.9
2012,Japan,14.4,17.3,4.6,1903,961408872,12.2,3,13.8
2017,India,12.6,1.2,3.6,2677,1206594322,30.3,12,58.9
2014,UK,29.6,15.9,2.2,1799,1362964625,47.5,0,39.7
2003,Mexico,31.4,8.5,2.2,2222,562074315,5.2,0,18.0
2014,Mexico,20.8,17.5,4.6,1398,936223565,15.7,11,63.1
2021,UK,12.3,12.9,1.1,1706,337303115,47.2,11,49.0
2001,Argentina,8.4,16.8,2.3,2035,1334032802,12.7,3,19.8
2014,China,7.6,10.2,3.2,577,316387268,10.1,1,12.0
2007,Indonesia,26.6,10.9,1.6,2032,1126838160,30.7,2,18.5
2007,Germany,17.6,3.3,1.4,737,423388217,43.8,10,46.5
2016,Australia,32.2,15.8,4.3,1657,751679888,26.5,8,20.8
2011,Australia,27.2,8.7,4.6,2496,1028924329,49.8,1,23.5
2018,Australia,10.7,10.3,4.3,1715,1020760264,35.6,3,11.5
2009,India,23.4,15.8,4.6,777,534063088,8.3,0,53.4
2008,Australia,18.1,12.2,3.2,1023,1086928352,49.7,1,58.6
2004,South Africa,22.3,4.4,4.2,679,289985187,23.4,4,57.8
2005,USA,27.1,12.0,2.5,622,1152039496,17.9,13,17.7
2019,Mexico,29.2,8.4,3.7,1769,1166786685,30.1,9,64.2
2001,Germany,30.3,9.7,5.0,2257,16901724,18.7,14,50.3
2023,USA,12.6,1.1,1.9,1594,572998076,8.9,0,63.9
2012,France,5.9,4.6,2.6,979,699195057,5.1,10,36.8
2005,Germany,27.2,6.0,2.9,2297,950422541,25.2,6,36.2
2004,USA,8.2,14.4,1.6,2631,1105460942,42.7,3,57.1
2000,Germany,14.4,0.7,1.3,2904,1357011909,30.8,5,15.6
2020,France,5.1,8.5,4.3,1315,943264951,50.0,7,41.3
2021,Russia,25.5,18.5,4.9,942,1252394217,17.9,12,60.2
2020,South Africa,10.0,2.7,2.6,642,121780956,17.6,5,59.8
2005,India,24.7,10.6,1.4,691,776502158,12.2,13,67.4
2005,India,34.8,15.8,1.3,1910,1287584579,12.4,1,51.9
2022,Argentina,7.2,18.9,4.6,877,545401489,17.8,0,22.5
2015,UK,7.3,15.1,2.9,1034,628479992,40.7,7,11.2
2003,Indonesia,15.2,14.6,2.3,2216,411423216,45.8,7,38.8
2010,Mexico,31.0,16.6,2.9,1532,1388289771,48.9,8,40.8
2023,Australia,11.5,9.2,2.3,1910,1010451727,15.5,5,24.4
2022,South Africa,15.8,16.2,3.0,2640,655042381,44.7,11,17.5
2008,Brazil,7.1,0.7,4.4,2489,413504125,19.8,0,45.2
2022,Australia,27.9,18.5,3.4,1677,748156329,10.1,13,55.9
2002,Indonesia,17.2,9.1,3.8,904,462496639,44.2,8,69.6
2018,Mexico,27.8,11.3,2.5,1672,199412389,33.6,11,55.5
2007,Canada,32.1,5.5,4.0,1388,73639916,12.4,12,57.6
2004,Indonesia,12.0,15.0,3.7,921,342865321,24.3,14,47.0
2003,South Africa,29.2,2.0,1.5,2141,1159052094,17.9,13,69.2
2023,USA,6.8,17.5,3.3,971,762718291,38.2,2,48.4
2005,Germany,32.0,16.6,2.0,1046,1374002297,25.4,10,61.6
2001,UK,24.5,4.7,4.2,1130,31249071,49.5,5,66.7
2019,UK,31.2,16.3,2.7,1537,1313095544,7.5,9,65.8
2010,Brazil,5.0,15.8,5.0,2329,909090341,21.0,12,32.9
2003,South Africa,10.1,12.8,1.4,863,330834956,26.7,9,14.7
2014,France,16.7,7.8,4.1,2666,1139899651,27.6,14,20.3
2005,Canada,16.4,5.8,3.7,1045,700477453,19.2,10,13.6
2021,France,11.8,5.0,4.1,1133,769315232,37.8,11,16.3
2016,India,16.4,6.7,2.2,2436,1018037875,44.4,13,21.1
2023,Argentina,8.9,18.1,3.0,2180,361616455,47.2,14,30.5
2005,India,17.4,2.0,4.2,1462,13350251,41.2,8,42.6
2018,Indonesia,29.1,16.7,1.9,1382,1160732321,43.3,10,52.7
2001,Australia,19.4,7.3,1.9,1370,1268489003,29.8,12,22.7
2014,USA,5.5,10.7,3.2,1015,560097732,42.2,2,50.4
2010,Brazil,17.6,16.0,3.1,1920,584023989,18.7,4,52.3
2007,Indonesia,5.8,17.7,2.1,1365,266267433,22.9,12,43.5
2018,Japan,34.0,7.2,2.2,2653,704210527,19.3,13,64.2
2012,Canada,8.8,9.5,2.1,1608,1007525728,26.0,4,16.7
2011,UK,26.2,8.6,4.1,713,1287012541,17.9,9,20.6
2004,Canada,34.2,0.8,3.6,2744,94344322,48.3,6,35.7
2005,Indonesia,29.8,6.3,4.3,518,431162461,19.1,3,17.6
2021,Indonesia,26.0,9.5,4.9,1141,916703921,9.4,10,44.0
2003,South Africa,30.2,8.5,2.9,1604,1168018187,28.7,3,33.9
2018,Australia,34.5,14.6,1.3,829,1211016796,7.6,6,27.1
2019,India,23.6,8.0,1.2,1365,1358019778,10.0,8,20.2
2000,UK,21.8,10.0,2.2,1273,876123161,14.9,14,30.1
2019,Argentina,23.8,8.9,4.7,891,1120533308,25.9,10,46.5
2016,Australia,21.0,14.9,3.1,1136,380662109,24.5,3,44.5
2011,Germany,24.1,17.3,2.1,2854,398407112,41.0,3,19.8
